Total ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Score,Symbol,Sector,Industry
-0.29138736610268123,0.2115753150663847,-0.8237546231262985,-0.053058013507457834,-1.2715470027822222,CHD,Consumer Defensive,Household & Personal Products
-0.3790755616516892,-0.21167079129159516,0.006385694752917514,-0.6793201729406726,-1.2715470027822222,CHRW,Industrials,Integrated Freight & Logistics
0.41011819828938517,0.05766764002711917,0.3937845097632178,0.4837381231495833,-0.00939566750824297,CHTR,Communication Services,Telecom Services
-1.504407404530629,-1.1158783821472793,-0.9067686549142201,-0.5003881273883254,-0.00939566750824297,CI,Healthcare,Healthcare Plans
0.5416504916128979,-0.7695861133089322,0.47679854155113965,2.720388692553921,-1.2715470027822222,CINF,Financial Services,Insurance - Property & Casualty
0.6293386871619059,0.4809137463850992,0.5598125733390614,-0.14252403628363142,-0.00939566750824297,CL,Consumer Defensive,Household & Personal Products
-0.042937478713823994,0.36548299010565005,-0.18731371275223316,-0.6793201729406726,-0.00939566750824297,CLX,Consumer Defensive,Household & Personal Products
0.48319169458022543,-0.634916897649575,0.47679854155113965,2.1835925558968796,-0.00939566750824297,CMA,Financial Services,Banks - Regional
0.17628301015869674,-0.3463400069509524,0.4491271976218325,0.617937157313843,-0.00939566750824297,CMCSA,Communication Services,Telecom Services
-0.59829605052421,-0.7118707351692077,-0.7684119352676841,1.0652672711947107,-1.2715470027822222,CME,Financial Services,Financial Data & Stock Exchanges
-0.17446977203733674,0.1923368556864764,0.0893997265408388,-1.12665028682154,-0.00939566750824297,CMG,Consumer Cyclical,Restaurants
-0.3790755616516892,-0.0385246568724217,-0.4363558081159978,-0.4109221046121518,-0.00939566750824297,CMI,Industrials,Specialty Industrial Machinery
-0.02832277945565626,0.7310137183239053,-0.6853979034797626,-0.7240531843287591,-0.00939566750824297,CMS,Utilities,Utilities - Regulated Electric
-0.29138736610268123,-1.0966399227673713,1.1132394519252053,-0.14252403628363142,-0.00939566750824297,CNC,Healthcare,Healthcare Plans
